App,Rating,Reviews,Size,Installs (more than),Type,Price,Content Rating,Genres,Last Updated,Android Ver
ROBLOX,4.5,4447388,67.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,4.1 and up
Subway Surfers,4.5,27722264,76.0,1000000000,Free,0.0,Everyone 10+,Arcade,2018-07-12,4.1 and up
Candy Crush Saga,4.4,22426677,74.0,500000000,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
Solitaire,4.7,254258,23.0,10000000,Free,0.0,Everyone,Card,2018-08-01,4.1 and up
Bubble Shooter,4.5,148897,46.0,10000000,Free,0.0,Everyone,Casual,2018-07-17,4.0.3 and up
Hello Kitty Nail Salon,4.2,369203,24.0,50000000,Free,0.0,Everyone,Casual,2018-04-17,4.1 and up
slither.io,4.4,5234162,,100000000,Free,0.0,Everyone,Action,2017-11-14,2.3 and up
Clash Royale,4.6,23133508,97.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-06-27,4.1 and up
Temple Run 2,4.3,8118609,62.0,500000000,Free,0.0,Everyone,Action,2018-07-05,4.0 and up
Pou,4.3,10485308,24.0,500000000,Free,0.0,Everyone,Casual,2018-05-25,4.0 and up
Helix Jump,4.2,1497361,33.0,100000000,Free,0.0,Everyone,Action,2018-04-09,4.1 and up
Block Puzzle,4.6,59800,7.8,5000000,Free,0.0,Everyone,Puzzle,2018-03-06,2.3 and up
Angry Birds Rio,4.4,2610526,46.0,100000000,Free,0.0,Everyone,Arcade,2018-07-03,4.1 and up
Plants vs. Zombies FREE,4.4,4066989,69.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-06,4.1 and up
Sonic Dash,4.5,3778921,75.0,100000000,Free,0.0,Everyone,Arcade,2018-07-26,4.1 and up
Candy Crush Soda Saga,4.4,6198563,67.0,100000000,Free,0.0,Everyone,Casual,2018-07-10,4.1 and up
Zombie Hunter King,4.3,10306,50.0,1000000,Free,0.0,Mature 17+,Action,2018-08-01,2.3 and up
Clash of Clans,4.6,44891723,98.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-15,4.1 and up
Kick the Buddy,4.3,1000417,,50000000,Free,0.0,Teen,Action,2018-07-05,4.4 and up
Block Puzzle Classic Legend !,4.2,17039,4.9,5000000,Free,0.0,Everyone,Puzzle,2018-04-13,2.3.3 and up
PAC-MAN,4.2,685981,37.0,100000000,Free,0.0,Everyone,Arcade,2018-05-15,4.1 and up
Super Jim Jump - pixel 3d,4.5,10393,18.0,1000000,Free,0.0,Everyone,Arcade,2018-07-11,4.0 and up
8 Ball Pool,4.5,14198297,52.0,100000000,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
Magic Tiles 3,4.5,592068,,50000000,Free,0.0,Everyone,Music,2018-08-03,4.1 and up
Bubble Witch 3 Saga,4.7,1732263,78.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-17,3.0 and up
Word Search,4.7,295241,3.9,10000000,Free,0.0,Everyone,Word,2018-06-06,3.0 and up
Granny,4.5,1135631,59.0,50000000,Free,0.0,Teen,Arcade,2018-05-29,4.0 and up
Angry Birds Classic,4.4,5566669,97.0,100000000,Free,0.0,Everyone,Arcade,2018-05-24,4.1 and up
Flow Free,4.3,1295557,11.0,100000000,Free,0.0,Everyone,Puzzle,2018-04-11,4.1 and up
Race the Traffic Moto,3.8,270687,38.0,10000000,Free,0.0,Teen,Racing,2018-07-20,4.0.3 and up
Fishdom,4.6,2157930,,10000000,Free,0.0,Everyone,Puzzle,2018-07-19,4.0.3 and up
Galaxy Attack: Alien Shooter,4.6,506275,,10000000,Free,0.0,Everyone,Arcade,2018-08-01,4.1 and up
Zombie Tsunami,4.4,4920817,,100000000,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device
Bubble Shooter 2,4.3,23005,,5000000,Free,0.0,Everyone,Arcade,2018-07-25,4.1 and up
Barbie™ Fashion Closet,4.1,68057,85.0,10000000,Free,0.0,Everyone,Casual,2018-07-30,4.1 and up
Candy Crush Jelly Saga,4.3,1300490,78.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-20,4.0 and up
Hill Climb Racing,4.4,8923587,63.0,100000000,Free,0.0,Everyone,Racing,2018-07-02,4.2 and up
Gardenscapes,4.6,4128732,,50000000,Free,0.0,Everyone,Casual,2018-07-13,4.0.3 and up
Marble - Temple Quest,4.3,42053,24.0,10000000,Free,0.0,Everyone,Puzzle,2018-06-21,4.0.3 and up
Shooting King,4.4,257724,69.0,10000000,Free,0.0,Everyone 10+,Sports,2018-05-25,4.0.3 and up
Zombie Catchers,4.7,990491,75.0,10000000,Free,0.0,Everyone,Action,2018-05-24,4.1 and up
Minion Rush: Despicable Me Official Game,4.5,10216538,,100000000,Free,0.0,Everyone 10+,Casual,2018-07-12,Varies with device
Farm Heroes Saga,4.4,7614130,70.0,100000000,Free,0.0,Everyone,Casual,2018-07-26,2.3 and up
Geometry Dash World,4.6,760628,63.0,10000000,Free,0.0,Everyone,Arcade,2017-12-22,4.0 and up
My Talking Angela,4.5,9881829,99.0,100000000,Free,0.0,Everyone,Casual,2018-07-03,4.1 and up
Cut the Rope FULL FREE,4.4,2123381,49.0,100000000,Free,0.0,Everyone,Puzzle,2018-07-05,4.1 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,7671249,,100000000,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device
Subway Surfers,4.5,27723193,76.0,1000000000,Free,0.0,Everyone 10+,Arcade,2018-07-12,4.1 and up
ROBLOX,4.5,4447346,67.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,4.1 and up
Pou,4.3,10485334,24.0,500000000,Free,0.0,Everyone,Casual,2018-05-25,4.0 and up
8 Ball Pool,4.5,14198602,52.0,100000000,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
Clash of Clans,4.6,44891723,98.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-15,4.1 and up
Candy Crush Saga,4.4,22428456,74.0,500000000,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
Plants vs. Zombies FREE,4.4,4066980,69.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-06,4.1 and up
Cooking Fever,4.5,3197865,82.0,100000000,Free,0.0,Everyone,Arcade,2018-07-12,4.0.3 and up
Toon Blast,4.7,1351068,,10000000,Free,0.0,Everyone,Puzzle,2018-07-30,4.1 and up
Score! Hero,4.6,5418675,96.0,100000000,Free,0.0,Everyone,Sports,2018-06-13,4.4 and up
My Talking Angela,4.5,9881908,99.0,100000000,Free,0.0,Everyone,Casual,2018-07-03,4.1 and up
Bubble Shooter,4.5,148895,46.0,10000000,Free,0.0,Everyone,Casual,2018-07-17,4.0.3 and up
Toy Blast,4.7,1889250,,50000000,Free,0.0,Everyone,Puzzle,2018-07-23,4.1 and up
Miraculous Ladybug & Cat Noir - The Official Game,4.5,183846,99.0,10000000,Free,0.0,Everyone,Action,2018-07-30,4.4 and up
Wordscapes,4.8,230710,87.0,10000000,Free,0.0,Everyone,Word,2018-08-02,4.1 and up
Word Search,4.7,295305,3.9,10000000,Free,0.0,Everyone,Word,2018-06-06,3.0 and up
Candy Crush Soda Saga,4.4,6198880,67.0,100000000,Free,0.0,Everyone,Casual,2018-07-10,4.1 and up
Fishdom,4.6,2157930,,10000000,Free,0.0,Everyone,Puzzle,2018-07-19,4.0.3 and up
Garena Free Fire,4.5,5465624,53.0,100000000,Free,0.0,Teen,Action,2018-08-03,4.0.3 and up
Block Puzzle,4.6,59854,7.8,5000000,Free,0.0,Everyone,Puzzle,2018-03-06,2.3 and up
Bowmasters,4.7,1534466,,50000000,Free,0.0,Teen,Action,2018-07-23,4.1 and up
Clash Royale,4.6,23134775,97.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-06-27,4.1 and up
My Talking Tom,4.5,14891223,,500000000,Free,0.0,Everyone,Casual,2018-07-19,4.1 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,7672495,,100000000,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device
Granny,4.5,1137271,59.0,50000000,Free,0.0,Teen,Arcade,2018-05-29,4.0 and up
Galaxy Attack: Alien Shooter,4.6,506275,,10000000,Free,0.0,Everyone,Arcade,2018-08-01,4.1 and up
Angry Birds Rio,4.4,2610622,46.0,100000000,Free,0.0,Everyone,Arcade,2018-07-03,4.1 and up
Zombie Catchers,4.7,990586,75.0,10000000,Free,0.0,Everyone,Action,2018-05-24,4.1 and up
Zombie Hunter King,4.3,10354,50.0,1000000,Free,0.0,Mature 17+,Action,2018-08-01,2.3 and up
Temple Run 2,4.3,8118937,62.0,500000000,Free,0.0,Everyone,Action,2018-07-05,4.0 and up
Zombie Tsunami,4.4,4921122,,100000000,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device
Jungle Marble Blast,4.3,18985,23.0,5000000,Free,0.0,Everyone,Casual,2018-07-23,4.0.3 and up
Rider,4.5,655067,72.0,10000000,Free,0.0,Teen,Arcade,2017-07-17,4.0.3 and up
Farm Heroes Saga,4.4,7614271,70.0,100000000,Free,0.0,Everyone,Casual,2018-07-26,2.3 and up
Super Jim Jump - pixel 3d,4.5,10434,18.0,1000000,Free,0.0,Everyone,Arcade,2018-07-11,4.0 and up
slither.io,4.4,5234825,,100000000,Free,0.0,Everyone,Action,2017-11-14,2.3 and up
Roll the Ball® - slide puzzle,4.5,1385093,35.0,100000000,Free,0.0,Everyone,Puzzle,2018-08-02,4.1 and up
Talking Tom Gold Run,4.6,2698348,78.0,100000000,Free,0.0,Everyone,Action,2018-07-31,4.1 and up
Pixel Art: Color by Number Game,4.7,1125017,25.0,10000000,Free,0.0,Everyone,Puzzle,2018-07-17,4.3 and up
Dream League Soccer 2018,4.6,9882639,74.0,100000000,Free,0.0,Everyone,Sports,2018-07-16,4.4 and up
Angry Birds Classic,4.4,5566805,97.0,100000000,Free,0.0,Everyone,Arcade,2018-05-24,4.1 and up
